id,mz,rt,ms1_isotopes,hyuA_13CUA_1,hyuA_13CUA_2,hyuA_13CUA_3,WT_13CUA_1,WT_13CUA_2,WT_13CUA_3
754.5808@0.947,754.5808,0.947,754.58081:3637 755.58416:2534 756.58752:1654,7717,8107,6873,4706,4754,5036
758.2186@0.641,758.2186,0.641,758.21857:15368 759.22192:14345 760.22528:10802,36804,19002,1262,6773,923,41293
769.3815@8.441,769.3815,8.441,769.38147:7224 770.38482:2716 771.38818:946,56833,52159,51613,42827,51716,49983
770.3303@6.394,770.3303,6.394,770.33032:5864 771.33367:2465 772.33703:498,48599,46444,48544,39045,37133,13068
770.3986@5.951,770.3986,5.951,770.39856:8572 771.40191:3137 772.40527:825,30306,36231,42105,22928,35285,36128
770.5755@0.971,770.5755,0.971,770.5755:6394 771.57885:3335 772.58221:2049,14875,12830,14757,8814,9242,8384
773.2605@5.334,773.2605,5.334,773.2605:6586 774.26385:2335 775.26721:793,8671,2046,14439,6.69770965576172,6.69770965576172,6.69770965576172
773.3657@6.257,773.3657,6.257,773.36572:3238 774.36907:1524 775.37243:547,8971,9118,7958,9481,8389,7908
784.1888@5.334,784.1888,5.334,784.18884:5851 785.19219:2148 786.19555:503,13377,246,10364,24.563117980957,24.563117980957,24.563117980957
784.3704@3.551,784.3704,3.551,784.37042:8267 785.37377:3072 786.37713:1088,12189,11703,11768,25076,25581,25726
786.2775@5.017,786.2775,5.017,786.27747:5295 787.28082:4311 788.28418:732,9974,6126,8821,9502,10522,12323
792.3597@7.074,792.3597,7.074,792.35968:28309 793.36303:11712 794.36639:3256,75816,79875,75289,85387,86455,87315
798.6074@0.959,798.6074,0.959,798.60736:5586 799.61071:0 800.61407:0,11740,10259,12610,7837,9247,7907
