id,mz,rt,ms1_isotopes,hyuA_UA_1,hyuA_UA_2,hyuA_UA_3,WT_UA_1,WT_UA_2,WT_UA_3
656.236@5.11,656.236,5.11,656.23602:3259 657.23937:877 658.24273:0,7145,5531,5949,6697,6897,5085
657.3185@4.543,657.3185,4.543,657.31848:9645 658.32183:3625 659.32519:743,41116,40261,39583,48457,43510,41872
659.1436@5.334,659.1436,5.334,659.14355:9451 660.1469:3506 661.15026:449,20942,2006,9.14559707641602,91,17836,22347
659.2862@6.52,659.2862,6.52,659.28619:4749 660.28954:1559 661.2929:507,17036,12390,12798,23397,18084,18700
660.4934@2.847,660.4934,2.847,660.49341:3054 661.49676:1124 662.50012:917,9069,8183,8500,10412,11048,9432
664.2888@6.614,664.2888,6.614,664.28876:17229 665.29211:5954 666.29547:1410,49980,58590,59499,40100,44639,42934
664.6228@1.37,664.6228,1.37,664.6228:4918 665.62615:2510 666.62951:4211,161,24437,7.36970825195313,7.36970825195313,74,13482
665.3601@5.399,665.3601,5.399,665.36011:6764 666.36346:2856 667.36682:893,13995,28475,31511,24522,20544,7344
668.3959@5.056,668.3959,5.056,668.39587:10383 669.39922:3832 670.40258:1083,30002,41828,58649,6869,20981,19763
668.396@4.911,668.396,4.911,668.396:46055 669.39935:17930 670.40271:3858,149701,271953,295598,30964,107664,112905
669.3564@2.886,669.3564,2.886,669.35638:7063 670.35973:2545 671.36309:670,34152,31964,32320,36508,34120,31886
670.0724@5.335,670.0724,5.335,670.07239:8097 671.07574:1893 672.0791:539,2836,251,25.0955718994141,25.0955718994141,4484,19811
670.3364@6.08,670.3364,6.08,670.33636:11687 671.33971:4954 672.34307:1744,15297,8566,20928,40471,26451,18936
672.322@6.019,672.322,6.019,672.32196:5783 673.32531:2216 674.32867:842,23152,22437,20292,23927,24161,22443
673.2924@4.506,673.2924,4.506,673.29236:29215 674.29571:11260 675.29907:4691,145032,143619,142468,149897,148532,144046
674.2789@7.173,674.2789,7.173,674.27887:5900 675.28222:1756 676.28558:1380,25327,24376,29037,31779,25402,19282
674.3335@4.935,674.3335,4.935,674.3335:25306 675.33685:10700 676.34021:2863,54013,51350,50960,52879,52441,50066
674.5091@2.83,674.5091,2.83,674.50909:5770 675.51244:2813 676.5158:1979,17748,17179,16571,20032,18179,17157
675.6715@0.89,675.6715,0.89,675.67145:3971 676.6748:1899 677.67816:1236,11286,9232,10780,17769,10949,11617
676.2891@5.163,676.2891,5.163,676.28912:10581 677.29247:4431 678.29583:1036,27693,23012,24979,25276,25480,24370
676.328@5.788,676.328,5.788,676.328:5552 677.33135:2829 678.33471:863,27089,26858,24002,24838,28332,24086
677.2972@6.486,677.2972,6.486,677.29724:5688 678.30059:3828 679.30395:1161,31692,32309,31027,33345,33478,31851
679.301@4.559,679.301,4.559,679.30096:4394 680.30431:1647 681.30767:0,14967,14320,14693,19525,15649,15702
681.0013@5.33,681.0013,5.33,681.00134:4106 682.00469:976 683.00805:390,684,68.420068359375,68.420068359375,68.420068359375,973,11763
681.3534@5.729,681.3534,5.729,681.35345:4025 682.3568:1296 683.36016:476,12820,11555,12234,13121,12348,11619
681.3549@5.891,681.3549,5.891,681.35486:4117 682.35821:1460 683.36157:463,13903,12848,12133,12372,13199,14704
682.6422@4.573,682.6422,4.573,682.64221:4499 683.64556:1775 684.64892:0,20274,19475,20016,21005,19739,18900
684.2024@0.643,684.2024,0.643,684.20239:22704 685.20574:17326 686.2091:14944,3847,59524,23210,36386,10971,2999
684.3159@6.42,684.3159,6.42,684.31592:9304 685.31927:3158 686.32263:1148,39668,40442,39082,49505,47292,44669
686.3085@5.538,686.3085,5.538,686.30847:7266 687.31182:2650 688.31518:570,12939,6597,6200,5054,6454,22436
687.3176@3.556,687.3176,3.556,687.31763:7797 688.32098:2721 689.32434:626,14530,14188,13362,22990,21870,20284
690.3773@5.052,690.3773,5.052,690.37732:5377 691.38067:1825 692.38403:409,13693,21832,27636,3534,10763,10852
690.3778@4.928,690.3778,4.928,690.37775:17062 691.3811:6086 692.38446:1423,53298,91642,97603,10759,34465,39376
690.5042@2.902,690.5042,2.902,690.50415:5683 691.5075:2070 692.51086:1486,13197,13511,11537,17219,14928,13176
695.2745@4.544,695.2745,4.544,695.27448:10530 696.27783:3627 697.28119:1712,34885,33365,33869,39567,35280,35319
